Sector,SPY,IJH,IJR,EFA,IEMG,RSP,QQQ,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU,KWEB,MCHI,EIMI,AGG,IEF,SHY,SHV,TLT,BNDX,TIP,GLD,MOAT,DIA,URTH,ACWI,AOK,AOM,AOR,EWT,EWH,DXJ,HYG,CEMB,HYLD,LQD,MBB,IQLT,DIHP,SPHQ,XMHQ,JQUA,DUHP,IWD,SPYV,COWZ,DFAT,DFUV,DFAC,QUAL,MOTI,DFSV,DFEV,DFIV,SLV,IEUR,IWM,SMMD,USMV,DFAX,IUSB,FALN,DFCF,MINT,CORP,BND,IAGG,BOND,GOVT,AGGU,EMB,USHY,IUAA,BBIN,JREG,BOTZ,XAIX,AIQ,CHAT,BLOK,CLOU,QTUM,CIBR,ARKF,ARKW,ESPO,SMH,SNSR,ICLN,PHO,TAN,FAN,DRIV,GRID,LIT,ESGU,ESGD,ESGE,IBB,ARKG,IDNA,XHE,IHF,IHI,SBIO,HEAL,HTEC,IVV,IDEV,INDA,EWJ,HYS,HYDB,CSPX,XDEW,M1WO Index,M1WD Index,SPXT Index,SPTGCUT Index,SPTGMUT Index,SPTGGUT Index,KURE,CHIQ,KGRN,CXSE,KBA,KSTR,QWLD,QUS,IDRV,IGPT,SKYY,HACK,FINX,SOXX,XBI,IXJ,IHE,PPH,Core E100,Core Growth,Core Balanced,Core Defensive,Disruptive Technology,Healthcare Innovation,ESG & Clean Energy,China Growth,REIT 100,REIT Risk Managed,Income Preserve,Income Enhance,Cash SGD flexi,Cash USD flexi,SRS Income Preserve,SRS Income Enhance,SRS Cash SGD flexi,SRS E100,Downside protected,AAXJ,ARKK,ARKQ,ARKX,BIL,BITO,CATH,CCOR,CNYA,CQQQ,CWI,DBMF,DLN,EEM,EIDO,EMQQ,EWA,EWM,EWY,EWZ,FDIS,FXI,GDX,HLAL,IEFA,IEI,IGF,IGSB,IGV,ILF,IPO,IWDA,IWP,IWS,JEPI,KMLM,KRBN,LEMB,METV,MNA,MOO,MTUM,NULV,OIH,PBW,PFFD,PFIX,PSQ,QAI,RAAX,REMX,SDG,SDY,SH,SHYG,SLYV,SMOG,SPDW,SPYX,SUSL,THD,UCAP,VBK,VGT,VIG,VNQ,VNQI,VOO,VOTE,VTI,VTIP,VTV,VUG,VWRA,VXUS,XLC,XME,XOP,XT,DFAE,QQEW,IBIT,ARKB,FBTC,JEPQ,ACWD,Cash SGD guaranteed
Cash and/or Derivatives,0,0.00109989,0.001302866,0.004004405,0.000802649,0,0,0,0,0,0,0,0,0,0,0,0,0.01489851,0.008477142,0.006870942,0.0019,0.00260078,0,0.00529947,0.006054461,0.003501751,0,0,0,0,0,0.005398812,0.007353223,0.00633581,0.00370074,0.00079984,0,0.001484782,0.004613278,-0.008141215,0,0.0031,0.006394884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006001801,0.0019,0,0.003301321,0,0.01688417,0.0087,0,0,0,0,0.016465562,0.000192068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063845,0,0,0,0,0,0,0.0035955,0.009142704,0.0005366,0.0008713,0,0,0,0.0008868,0.0024261,0,0,0,0.0030726,0.007121984,0.005736307,0.010501402,0.001219627,0.0034,0,0,0,0,0,0.005398812,0.007353223,0.00633581,0,0,0,0,0,0,0,0,0.007796881,0,0,0,0,0,0,0,0,0,0.001351945,0.002006176,0.002680877,0.003174573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001995012,0,0,0,0,0,0,0,0.003996004,0,0,0,0,0.0029994,0.00049995,0,0.00469953,0,0.00349965,0.02309769,0,0.016944143,0,0,0,0,0,0.00610061,0.00109967,0,0,0.00290029,0.001598242,0.00380076,0,0,0,0,0,0,0,0.00219934,0,0,0,0,0,1,0,0,0,0.003901561,0,1,0.0039,0,0,0,0,0,0.00280056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011095562,0,0,0,0,0,0,0,0
Communication Services,0.08978979,0.01689831,0.027560633,0.040744819,0.080264874,0.038573086,0.154573091,0,0,0,0,0,0,0,0,0,0.392065589,0.222377762,0.078918155,0,0,0,0,0,0,0,0,0.048426974,0.023877068,0.075803746,0.077266306,0.021413939,0.02850381,0.042824237,0.030106021,0.017096581,0.02819718,0,0,0,0,0,0.038768985,0.062330605,0.060411018,0,0.06503809,0.011164189,0.046690594,0.045645646,0.00779844,0.028059209,0.068002003,0.062380867,0.094442066,0.146714671,0.029932926,0.029810298,0.034551828,0,0.032809843,0.0216,0.024007202,0.050320128,0.046525619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03919598,0.072516389,0,0.15722705,0.155517725,0.1757,0.0441227,0.087654277,0.0055011,0,0.17879623,0.26291323,0.696726054,0,0.0055011,0,0,0,0,0.048,0,0,0.083329508,0.036878415,0.097770939,0,0,0,0,0,0,0,0,0,0.090071591,0.039401913,0.041710369,0.071572914,0,0,0.089798779,0.039835852,0.075803746,0.077266306,0.08978979,0.021413939,0.02850381,0.042824237,0,0,0,0.169635709,0.013842913,0,0.107271635,0.085717153,0,0.207562269,0.083508351,0,0,0,0,0,0,0,0.091423445,0.066229914,0.038851003,0.019865627,0.10883599,0,0.03572143,0.094675739,0,0,0,0,0,0,0,0,0,0.076730291,0.08978979,0.104538653,0.203143773,0.064823164,0.103023516,0,0,0.094728419,0.036308623,0.011488511,0.329746193,0.058167536,0,0.062123645,0.095180964,0.066393361,0.248373438,0.02659734,0.068100358,0.066093391,0.01829817,0,0.178800118,0,0.152384762,0.047328244,0,0,0,0.024892532,0.044013011,0.03494193,0.081308131,0.046049346,0.033406681,0.051120803,0,0,0,0.424546844,0.04368932,0,0.032590223,0.051356492,0,0,0.064246114,0,0,0.146972063,0,0,0,0,0,0,0.035807948,0,0.043689812,0.096537883,0.101610161,0.120624125,0.071364228,0.03670367,0,0.00810081,0,0,0.094709471,0.095795796,0.0883,0,0.03290329,0.1377,0.081808181,0.051107325,1,0,0,0.034186325,0.082787793,0.099639495,0,0,0,0.149984881,0.084852735,0
Consumer Discretionary,0.106206206,0.154684532,0.147123672,0.111422565,0.121400622,0.101968157,0.129302586,1,0,0,0,0,0,0,0,0,0.440156744,0.283871613,0.119991927,0,0,0,0,0,0,0,0,0.078334472,0.130020943,0.098094731,0.100414526,0.030531731,0.040640663,0.061058744,0.033306661,0.062787443,0.191780822,0,0,0,0,0,0.116207034,0.176978496,0.038093208,0.174790927,0.117301148,0.101842758,0.050532722,0.057457457,0.209458108,0.148100009,0.066099149,0.106061295,0.107433958,0.215321532,0.159575533,0.096155776,0.140310466,0,0.11253376,0.1086,0.130539162,0.059323729,0.127043016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113567839,0.109127584,0.007604563,0.055139347,0.113158422,0.0591,0.068921448,0.026199724,0.096119224,0,0.136831358,0.167741585,0.104714093,0,0.096119224,0,0,0,0,0.3439,0.06085213,0.131359386,0.09656991,0.120553048,0.139851456,0,0,0,0,0,0,0,0,0,0.106966189,0.100255879,0.128862415,0.173362535,0,0,0.106216839,0.103192874,0.098094731,0.100414526,0.106206206,0.030531731,0.040640663,0.061058744,0,1,0.38459998,0.28182546,0.068412077,0.047590422,0.06630609,0.060925424,0.621551379,0.006601981,0.0370037,0,0,0,0,0,0,0,0.12801772,0.092607044,0.054579228,0.027816114,0.04952592,0,0.08945367,0.242193758,0,0,0,0,0,0,0,0,0,0.109261701,0.106206206,0.140648379,0.205146175,0.221120128,0.062709966,0,0,0.11463439,0.066666667,0.068731269,0.175837563,0.113417074,0,0.045764753,0.132173565,0.052694731,0.463905814,0.067493251,0.038829152,0.099190081,0.01009899,1,0.34134568,0,0.080091991,0.113994911,0,0,0,0,0.013010775,0.181718062,0.112311231,0.146938368,0.093318664,0.109848869,0,0,0,0.082113999,0.063214671,0,0.049985004,0.058764641,0,0.13621,0.025872377,0,0,0.076869686,0.000714694,0,0.080632253,0.053553554,0,0,0.171777285,0.297113752,0.111201216,0.118314099,0.120412041,0.073314663,0.237413672,0.138613861,0,0.059905991,0,0,0.115611561,0.117717718,0.1156,0,0.0470047,0.1613,0.115411541,0.115041587,0,0,0,0.044782087,0.124282405,0.120368516,0,0,0,0.160266102,0.115307554,0
Consumer Staples,0.056056056,0.04429557,0.037382241,0.085393933,0.053777466,0.074175934,0.062121242,0,1,0,0,0,0,0,0,0,0.052933078,0.04139586,0.053284893,0,0,0,0,0,0,0,0,0.153769474,0.070445477,0.065505958,0.06423918,0.019263102,0.025640991,0.038523169,0.019703941,0.028794241,0.081491851,0,0,0,0,0,0.084032774,0.104212423,0.079487987,0.037139266,0.058036996,0.087769347,0.07826924,0.0997998,0.027894421,0.045240995,0.041261893,0.058457956,0.058306492,0.087808781,0.042146361,0.018769447,0.041662494,0,0.102530759,0.035,0.032909873,0.106642657,0.065376517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085427136,0.061422088,0,0,0,0,0.011872001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065396207,0.084128234,0.047671119,1.78E-05,0,0,0,0,0,0,0,0.014527602,0.055388394,0.075965833,0.068928878,0.053520711,0,0,0.056061668,0.069262336,0.065505958,0.06423918,0.056056056,0.019263102,0.025640991,0.038523169,0,0,0,0.067053643,0.123382486,0,0.091245994,0.081903041,0,0,0,0,0,0,0,0,0,0.0456,0.070976034,0.051187848,0.030314725,0.015396038,0,0,0.02701621,0.065952759,0,0,0,0,0,0,0,0,0,0.059356091,0.056056056,0.038603491,0,0,0,0,0,0.055316595,0.100958144,0.116983017,0,0.069645562,0,0.124949819,0.047890422,0.100289971,0.004234225,0.04089591,0.102150538,0.02509749,0.073992601,0,0.008570584,0,0.0419958,0.080508906,0,0,0,0,0.129091279,0.143372046,0.060506051,0.022275497,0.057111422,0.097474389,0,0,0,0,0.036030205,0.350329934,0.124262721,0.105716288,0,0.01265,0,0,0,0.031754295,0.007575758,0,0.181472589,0.185385385,0,0,0.03732096,0,0.073897618,0.056196688,0.04780478,0.125225045,0.018416575,0.03330333,0,0.114211421,0,0,0.054905491,0.053253253,0.0523,0,0.102210221,0.0199,0.059105911,0.06573805,0,0,0,0.005097961,0.05237184,0.069497296,0,0,0,0.050196553,0.057503506,0
Energy,0.034734735,0.050294971,0.046402085,0.040044048,0.046352965,0.044393551,0.005160103,0,0,1,0,0,0,0,0,0,0,0.03779622,0.044807751,0,0,0,0,0,0,0,0,0,0.025304045,0.042320911,0.044678438,0.013067599,0.017394246,0.026133215,0.0045009,0,0.01379862,0,0,0,0,0,0.050359712,0.100767359,0.091057326,0.084491358,0.036861217,0.055663853,0.076763959,0.063463463,0.276544691,0.102661046,0.132799199,0.060325094,0.035271952,0,0.119131044,0.119743049,0.143214822,0,0.051615485,0.0684,0.048314494,0.022008804,0.07410007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042211055,0.042561775,0.007604563,0,0,0,0,0,0,0,0,0,0,0,0,0.0064775,0,0,0.00409246,0,0,0,0.042824504,0.047487619,0.04963382,0,0,0,0,0,0,0,0,0,0.034001397,0.051792086,0.088735966,0.009026402,0,0,0.034738212,0.047342608,0.042320911,0.044678438,0.034734735,0.013067599,0.017394246,0.026133215,0,0,0,0.001301041,0.035610392,0,0.036157853,0.035631838,0,0,0,0,0,0,0,0,0,0,0.03179686,0.022899641,0.013635081,0.006900609,0.00080694,0,0.01691015,0.01661329,0,0,0,0,0,0,0,0,0,0.0446067,0.034734735,0.032319202,0,0.010419798,0,0,0,0.030309093,0.051638931,0.034265734,0,0.051263158,0,0.079787234,0.045690862,0.058494151,0.077042239,0.03439656,0.011051374,0.01529847,0.181281872,0,0.050241356,0,0.054794521,0.033689567,0,0.22476743,0,0,0.139662533,0,0.03630363,0.038857257,0.055111022,0.028603307,0,0,0,0,0,0,0.021693492,0.040644709,1,0.02384,0,0,0,0.017352074,0.467409949,0,0,0.036936937,0,0,0.043473875,0,0.047440446,0.009332664,0.01680168,0.121724345,0.033029727,0.051205121,0,0.02880288,0,0,0.03080308,0.030930931,0.0321,0,0.064306431,0.0076,0.03650365,0.046998697,0,0.141298909,1,0,0.043609628,0.020028039,0,0,0,0.002923092,0.037968343,0
Financials,0.139239239,0.164983502,0.185909,0.203824207,0.207986355,0.150442035,0.004700094,0,0,0,1,0,0,0,0,0,0.036433072,0.172882712,0.212735897,0.082660592,0,0,0,0,0.066944204,0,0,0.06296948,0.213853319,0.151324746,0.158266728,0.106054958,0.113415804,0.128698973,0.176135227,0.387022595,0.152384762,0.115166154,0.216996949,0.198544338,0.30953815,0,0.20263789,0.056064322,0.103267996,0.135761338,0.134562554,0.108901261,0.224307949,0.224724725,0,0.290324319,0.238157236,0.152681216,0.123451967,0.132913291,0.255280809,0.305931948,0.282323485,0,0.175252576,0.159,0.157547264,0.157563025,0.166850496,0.097276185,0.1907,0.175794176,0.312644,0.35009335,0.088591141,0.051085169,0.135887833,0,0.071484605,0,0.114042979,0.077657847,0.205025126,0.151185073,0.009705823,0.06642693,0.002803925,0,0.411475502,0,0,0,0.451263741,0.257196899,0,0,0,0,0,0.049501253,0,0,0,0,0.121203412,0.190963576,0.263245805,0,0,0,0,0,0,0,0,0,0.135797386,0.217812921,0.256345601,0.154308031,0.133126935,0.1812,0.139253178,0.155339806,0.151324746,0.158266728,0.139239239,0.106054958,0.113415804,0.128698973,0,0,0,0.083767014,0.224696559,0,0.177483974,0.179062531,0,0,0.00870087,0,0.698630137,0,0,0,0,0,0.135635985,0.113046036,0.089200781,0.072161707,0.03954004,0,0.09345607,0.121797439,0,0,0,0,0,0,0,0,0,0.178579302,0.139239239,0.217955112,0.183620344,0,0,0,0,0.132639792,0.212708018,0.227472527,0.01106599,0.234730419,0,0.187675632,0.236352729,0.502449755,0.169575545,0.387661234,0.42303863,0.133186681,0.328767123,0,0.293764161,0,0,0.207430025,0,0,0.443744374,0,0.365623094,0.136964357,0.158515852,0.126261113,0.179035807,0.151536667,0,0,0,0.027080149,0.19622438,0,0.234629611,0.233757133,0,0,0.752799217,0,0,0.33263925,0,0,0.003501401,0.112312312,0,0.1131,0.230683881,0.00599221,0.217739483,0.136276969,0.128012801,0.111122224,0.249224302,0.084808481,0,0.215321532,0,0,0.132913291,0.134234234,0.1408,0,0.243324332,0.0634,0.169516952,0.221565287,0,0,0,0.049280288,0.200523718,0.01001402,0,0,0,0.009474851,0.167501503,0
Health Care,0.104704705,0.077892211,0.105832832,0.137351086,0.042640714,0.12562005,0.064731295,0,0,0,0,1,0,0,0,0,0.002545411,0.0379962,0.04117469,0,0,0,0,0,0,0,0,0.20614931,0.191023386,0.122881872,0.113611045,0.033394501,0.044451154,0.066783637,0.00220044,0,0.069893011,0,0,0,0,0,0.114008793,0.099732411,0.144272994,0.046081167,0.132484398,0.153885411,0.148278347,0.191391391,0.147470506,0.054790204,0.130395593,0.120592833,0.1240791,0.133813381,0.051756933,0.022081702,0.073309965,0,0.145843753,0.161,0.123437031,0.167867147,0.066479495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135678392,0.125567322,0.132479488,0,0.009112758,0,0,0.012539781,0.066513303,0,0.010294969,0.021728996,0,0,0.066513303,0,0.114056594,0,0,0,0,0,0.125154413,0.123604449,0.035321914,0.997862301,0.938828945,0.984440875,1,0.9991132,0.9975739,1,0.978734076,0.963129947,0.105974489,0.105758467,0.057211776,0.081381016,0,0,0.104715187,0.111900711,0.122881872,0.113611045,0.104704705,0.033394501,0.044451154,0.066783637,1,0,0,0.105684548,0.066907413,0.109508065,0.139322917,0.14242698,0,0.047414224,0.00540054,0,0.02039796,0,1,1,1,0.9544,0.104217329,0.075066925,0.044558555,0.022593467,0.0248134,0.99629778,0.04402642,0.102281829,0,0,0,0,0,0,0,0,0,0.096131081,0.104704705,0.035610973,0.200841009,0.010119227,0,0,0,0.099729919,0.12082703,0.064535465,0,0.087104717,0,0.125551987,0.033793241,0.02249775,0,0.097590241,0.030067702,0.081391861,0.01969803,0,0.014284307,0,0.113688631,0.114605598,0,0,0,0,0.012604188,0.015919103,0.102210221,0.124562981,0.081716343,0.139263617,0,0,0,0,0.033009709,0.158868226,0.080075977,0.147462208,0,0,0.004674421,0,0,0.057435364,0.004431103,0,0.190876351,0.075375375,0,0,0.073028041,0,0.101368474,0.102157551,0.097609761,0.085817163,0.069962967,0.154915492,0,0.138913891,0,0,0.100010001,0.099199199,0.1034,0,0.163016302,0.0608,0.095009501,0.08387614,0,0,0,0.152638944,0.043911774,0.099839776,0,0,0,0.054732386,0.09567221,0
Industrials,0.085985986,0.210578942,0.176488274,0.169686655,0.087087388,0.157932635,0.046070921,0,0,0,0,0,1,0,0,0,0.036998109,0.04969503,0.085881522,0.14901262,0,0,0,0,0.064929735,0,0,0.224055528,0.138714557,0.108771208,0.104304434,0.143133646,0.138679039,0.13045823,0.038207642,0.149970006,0.240975902,0.845700035,0.443920883,0.760427437,0.6420433,0,0.163968825,0.180053967,0.108344996,0.286322575,0.093730474,0.176313499,0.141688019,0.114014014,0.098380324,0.165060463,0.148422634,0.138347128,0.081979994,0.03860386,0.190609671,0.09204055,0.103355033,0,0.171751525,0.1749,0.204661398,0.088335334,0.169557806,0.181700935,0.7562,0.197908198,0.203098,0.458624459,0.156284372,0.05250097,0.055123403,0,0.092076878,0,0.850674663,0.140892158,0.170854271,0.104387292,0.439963978,0.021276596,0.097937112,0.0118,0.012948328,0.041091295,0.157931586,0.135205597,0,0,0,0,0.157931586,0.1851781,0.560633002,0.187045111,0.377857436,0.1667,0.566817043,0.27137892,0.09514011,0.169454468,0.047652419,0,0,0,0,0,0,0,0.008727054,0,0.085987391,0.176648811,0.089579822,0.230494246,0.778121775,0.7975,0.085894484,0.163847463,0.108771208,0.104304434,0.085985986,0.143133646,0.138679039,0.13045823,0,0,0.21868429,0.126601281,0.167619621,0.029155395,0.10556891,0.101676202,0.198820472,0.029508853,0.01390139,0.1729,0.04229577,0,0,0,0,0,0.127227547,0.123079939,0.118942295,0.116087317,0.09693363,0.0010006,0.29177507,0.109787829,0,0,0,0,0,0,0,0,0,0.112101601,0.085985986,0.074812968,0.032238686,0.377116521,0.580168991,0,0,0.081124337,0.171457388,0.156743257,0.009238579,0.137669415,0,0.087013248,0.066986603,0.04879512,0.025198802,0.056394361,0.108422939,0.156984302,0.099790021,0,0.017732243,0,0.069293071,0.185445293,0,0.388216465,0.464446445,0,0.0672901,0.118442131,0.106510651,0.17330936,0.170734147,0.141900801,0,0,0,0,0.092125135,0.201559688,0.11096671,0.135949544,0,0.41696,0.00945755,0,0,0.08259587,0.105774728,0,0.116446579,0.187987988,0,0.8515,0.155941093,0.156995905,0.179827674,0.082589062,0.080808081,0.084116823,0.027825043,0.196319632,0,0.117211721,0,0,0.080808081,0.081381381,0.0944,0,0.132413241,0.0469,0.101910191,0.151417978,0,0,0,0.054278289,0.091348575,0.109152814,0,0,0,0.040419313,0.100280505,0
Information Technology,0.316216216,0.103789621,0.122369212,0.088497347,0.231764824,0.126140091,0.503610072,0,0,0,0,0,0,0,1,0,0,0.057194281,0.230901201,0,0,0,0,0,0,0,0,0.176205519,0.197600487,0.249769288,0.248258821,0.068374357,0.091012085,0.136736885,0.636627325,0,0.109389061,0,0,0,0,0,0.101918465,0.11834814,0.345604886,0.155533413,0.304028577,0.280678099,0.09391705,0.081681682,0.092681464,0.073359021,0.100150225,0.238530781,0.309350209,0.156415642,0.05796376,0.143229951,0.018828242,0,0.081824547,0.1434,0.133740122,0.254901961,0.124736789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088442211,0.249722642,0.402641585,0.699930077,0.621470058,0.7534,0.450660021,0.791760933,0.673934787,0.864794403,0.214390665,0.29041929,0.198559853,1,0.673934787,0.192209,0.105480567,0.50095086,0,0.2995,0.186766917,0.157861523,0.30000113,0.092693537,0.231837493,0,0.028070197,0,0,0,0,0,0.01253887,0.012623986,0.317014268,0.087951907,0.124327047,0.141834828,0,0,0.316247873,0.136422781,0.249769288,0.248258821,0.316216216,0.068374357,0.091012085,0.136736885,0,0,0.164613998,0.114991994,0.150667068,0.782085963,0.208733974,0.252835491,0.066473411,0.659197759,0.851485149,0.8271,0.238676132,1,0,0,0,0,0.223367465,0.161224882,0.095100815,0.048439163,0.66865039,0.00230138,0.1740044,0.145116089,0,0,0,0,0,0,0,0,0,0.240970102,0.316216216,0.267630923,0.175010012,0.305680794,0.254097526,0,0,0.32859858,0.118809884,0.167732268,0.474111675,0.139903862,0,0.167804095,0.23785243,0.00209979,0.002272023,0.02439756,0.016726404,0.366463354,0.00719928,0,0.050142843,0,0.444055594,0.088549618,0,0,0,0.974007798,0,0.337905487,0.262726273,0.278893217,0.093218644,0.176387058,0,0,0,0.466259009,0.21596548,0,0.251924423,0.108219041,0,0.16353,0,0,0,0.138990109,0.005431675,0,0.208683473,0.061861862,0,0,0.103490014,0.125936283,0.09964521,0.334972403,0.351135114,0.106521304,0.288059253,0.234223422,1,0.260826083,0,0,0.328032803,0.327927928,0.3048,0,0.111611161,0.4753,0.258425843,0.132177573,0,0,0,0.547081168,0.237385437,0.411776487,0,0,0,0.508114101,0.262572631,0
Materials,0.020720721,0.071292871,0.055622369,0.065472019,0.074746664,0.05487439,0.015220304,0,0,0,0,0,0,1,0,0,0,0.03429657,0.071652034,0,0,0,0,0,0,0,0,0.050089244,0.009160718,0.036525013,0.040052385,0.013213083,0.017587996,0.026424327,0.052210442,0,0.109989001,0,0,0,0,0,0.071143086,0.081537226,0.025024109,0.072124433,0.019004676,0.021896553,0.047065741,0.034134134,0.124875025,0.075764284,0.066399599,0.041683223,0.022201496,0.02080208,0.077084793,0.127170531,0.131096645,0,0.067720316,0.0444,0.054116235,0.024309724,0.111400782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033585477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169387,0.080098191,0.022776232,0.04166072,0.1419,0.000200501,0.439400171,0.023914302,0.07441693,0.054218122,0.0012486,0.033100858,0.015559125,0,0,0,0,0,0.009718465,0.020522298,0.074233937,0.076454293,0.039193308,0,0,0.020722795,0.053748374,0.036525013,0.040052385,0.020720721,0.013213083,0.017587996,0.026424327,0,0,0,0.024119295,0.091282977,0.031660154,0.027544071,0.016661648,0.105357857,0,0,0,0,0,0,0,0,0,0.041015193,0.0295531,0.017568207,0.00889905,0,0.00040024,0.05293176,0.04353483,0,0,0,0,0,0,0,0,0,0.0422183,0.020720721,0.037506234,0,0,0,0,0,0.019305792,0.042158346,0.09010989,0,0.064056525,0,0.011441188,0.057588482,0.120187981,0,0.184981502,0.059239347,0.0469953,0.143685631,0,0.014973894,1,0.03079692,0.065648855,0,0,0,0,0.198414312,0,0.03180318,0.011287584,0.066213243,0.019170301,0,0,0,0,0.227508091,0.289242152,0.007597721,0.032035239,0,0.18228,0.017936732,0,0,0.052576783,0.253573471,1,0.017907163,0.08008008,0,0,0.044785152,0.009188056,0.068727826,0.019267436,0.02410241,0.042608522,0,0.01980198,0,0.03550355,0,0,0.01890189,0.019419419,0.0212,0,0.02260226,0.0142,0.03550355,0.072151518,0,0.858701091,0,0.033286685,0.073924867,0.009913879,0,0,0,0.010180425,0.035063114,0
