Country,SPY,IJH,IJR,EFA,IEMG,RSP,QQQ,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU,KWEB,MCHI,EIMI,AGG,IEF,SHY,SHV,TLT,BNDX,TIP,GLD,MOAT,DIA,URTH,ACWI,AOK,AOM,AOR,IVV,IDEV,DXJ,HYG,CEMB,HYLD,LQD,MBB,DFAT,DFUV,DFAC,QUAL,DFSV,DFIV,SLV,IEUR,IWM,SMMD,USMV,DFAX,IUSB,FALN,DFCF,MINT,CORP,BND,IAGG,BOND,GOVT,AGGU,EMB,USHY,IUAA,BBIN,JREG,BOTZ,XAIX,AIQ,CHAT,BLOK,CLOU,QTUM,CIBR,ARKF,ARKW,ESPO,SMH,SNSR,ICLN,PHO,TAN,FAN,DRIV,GRID,LIT,ESGU,ESGD,ESGE,IBB,ARKG,IDNA,XHE,IHF,IHI,SBIO,HEAL,HTEC,EWT,EWH,IQLT,DIHP,SPHQ,XMHQ,JQUA,DUHP,IWD,SPYV,COWZ,MOTI,DFEV,INDA,EWJ,HYS,HYDB,CSPX,XDEW,M1WO Index,M1WD Index,SPXT Index,SPTGCUT Index,SPTGMUT Index,SPTGGUT Index,KURE,CHIQ,KGRN,CXSE,KBA,KSTR,QWLD,QUS,IDRV,IGPT,SKYY,HACK,FINX,SOXX,XBI,IXJ,IHE,PPH
United States,1,1,1,0,0,1,0.97379,1,1,1,1,1,1,1,1,1,0,0,0.002220204,0.940061496,1,1,1,1,0.030844277,1,0,1,1,0.706114762,0.634223004,0.739461524,0.720525196,0.683666227,0.9986,0.080232127,0,0.854608417,0.019273765,0.433541018,0.855392405,1,1,1,1,1,1,0.04360436,0,0.00040012,0.988094047,1,1,0.031015508,0.863328275,0.8422,0.788470212,0.708829709,0.762035238,0.938489647,0.03270536,0.936239677,1,0.397189421,0.00380038,0.851785179,0.900372885,0.00520156,0.704790721,0.438143814,0.873287329,0.726272627,0.7242,0.740832923,0.897086926,0.5932,0.736366586,0.723915686,0.913158799,0.344667685,0.792020798,0.7074,0.3395868,0.993339199,0.543587265,0.163663842,0.5406,0.581383723,0.176147021,1,0.0003184,0,0.898018331,0.91023074,0.815218478,1,1,1,0.853085309,0.720727927,0.848,0,0,0.000177399,0.000700841,1,1,1,0.98897022,1,1,1,0.0298,0.000100513,0,0,0.839657283,0.830235619,1,1,0.706114762,0.634223004,1,0.739461524,0.720525196,0.683666227,0.019951875,0,0,0.004340921,0,0,0.657431486,1,0.31017593,0.8766,0.9249,0.9038,0.808219178,0.865773155,0.9714,0.708070807,1,0.610261026
Australia,0,0,0,0.073929572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002175174,0,0,0,0,0.051756529,0,0,0,0,0.01852537,0.016673736,0.009979137,0.011295573,0.013858011,0,0.067426553,0,0.00704326,0.001965299,0.001736918,0.007189873,0,0,0,0,0,0,0.067106711,0,0,0,0,0,0.045822911,0.005159332,0.0036,0.017635982,0.002600003,0.017425983,0.002131547,0.029600326,0.001536393,0,0.015614326,0,0.0060006,0.001434172,0.072521757,0.016238023,0,0,0,0,0,0,0,0,0,0,0.040042904,0,0,0,0,0,0,0.0212,0,0.148420376,0,0.070352328,0,0.0002858,0,0,0,0,0,0,0.00939906,0,0,0,0.059134558,0.064277133,0,0,0,0,0,0,0,0.0295,0.000301538,0,0,0.006025798,0.004525097,0,0,0.01852537,0.016673736,0,0.009979137,0.011295573,0.013858011,0,0,0,0,0,0,0.012602521,0,0.035485806,0.0022,0.0236,0,0.01649835,0,0,0.01550155,0,0
Austria,0,0,0,0.0020008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192386,0,0,0,0,0.015445387,0,0,0,0,0.000463446,0.000439695,0.001233331,0.001171536,0.001051245,0,0.003101623,0,0,0,0.001275204,0,0,0,0,0,0,0,0.00330033,0,0.0050015,0,0,0,0.003901951,0.000404654,0,0.000302,0,0,0.000406009,0.01273014,0,0,0.006148141,0,0.00080008,0.000382446,0.00280084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112,0.0131082,0,0,0,0,0.00069986,0,0,0.002629601,0,0,0,0,0,0,0,0,0,0,0,0,0.00236119,0.002102523,0,0,0,0,0,0,0,0,0,0,0,0.003012899,0,0,0,0.000463446,0.000439695,0,0.001233331,0.001171536,0.001051245,0,0,0,0,0,0,0.00060012,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0.010204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168122,0,0,0,0,0.022387357,0,0,0,0,0.00203944,0.001891402,0.002512161,0.002471906,0.002393538,0,0.007603528,0,0.000919408,0,0.003241731,0,0,0,0,0,0,0,0.00710071,0,0.015704711,0,0,0,0.008504252,0.001618614,0,0.000403,0,0.006005994,0.002030045,0.017077188,0,0,0.015223968,0,0,0,0.008502551,0.001412002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629874,0,0,0.008657203,0,0.021695593,0,0,0,0,0,0.01160116,0.02139786,0,0,0,0.002243691,0.007509011,0,0,0,0,0,0,0,0.0181,0.000301538,0,0,0,0,0,0,0.00203944,0.001891402,0,0.002512161,0.002471906,0.002393538,0,0,0,0,0,0,0.00220044,0,0,0,0,0,0,0,0,0.0030003,0,0
Denmark,0,0,0,0.037414966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008289583,0,0,0,0,0.009629795,0.008619258,0.003404431,0.00426389,0.005936844,0,0.030912213,0,0,0,0,0,0,0,0,0,0,0,0.03020302,0,0.054516355,0,0,0,0.021210605,0.00030349,0,0.001410999,0,0.001673998,0,0.006417071,0,0,0.003220455,0,0.00020002,0,0.037111133,0.00927887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1092818,0,0,0.172905663,0,0.0079984,0,0,0.038235315,0,0.023660793,0,0.03379662,0,0,0,0,0.0239976,0,0,0,0.041705029,0.025030036,0,0,0,0,0,0,0,0.0141,0,0,0,0,0,0,0,0.009629795,0.008619258,0,0.003404431,0.00426389,0.005936844,0,0,0,0,0,0,0.010002,0,0,0,0,0,0,0,0,0.04910491,0,0.076807681
European Union,0,0,0,0.00160064,9.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100918,1.04E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003277,0,0,0,0,0,0,0,0.003046201,0.000111547,0,0,0,0,0,0,0,0,0,0,0,0.001019896,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039984,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0.010004002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65E-05,0,0,0,0,0.007889985,0,0,0,0,0.0025349,0.002279393,0.001566432,0.001727521,0.002041079,0,0.00900381,0,0,0,0.003789882,0,0,0,0,0,0,0,0.00880088,0,0.016504951,0,0,0,0.009204602,0.000404654,0,0.002922997,0.001400001,0.001574998,0,0.007141079,0.002112541,0,0.004001171,0,0.00020002,0.000191223,0.010403121,0.002924861,0.02070207,0.00370037,0.00240024,0,0,0,0.0155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015171806,0,0,0,0,0,0,0,0,0,0,0,0,0.009154462,0.007408891,0,0,0,0,0,0,0,0,0,0,0,0.000941531,0,0,0,0.0025349,0.002279393,0,0.001566432,0.001727521,0.002041079,0,0,0,0,0,0,0.00470094,0,0.00269892,0,0,0,0,0,0,0,0,0
France,0,0,0,0.111944778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064345,0,0,0,0,0.122101361,0,0,0,0,0.027498716,0.02457301,0.017341162,0.018437637,0.020571875,0,0.084133911,0,0.010446347,0,0.084376523,0.004759494,0,0,0,0,0,0,0.093909391,0,0.174752426,0,0,0,0.052626313,0.006069803,0,0.01965098,0.016298016,0.015259985,0.000507511,0.100084101,0.005185327,0,0.049770665,0,0.01150115,0.000764891,0.103931179,0.030660615,0,0,0,0,0,0,0.0259,0.036918445,0,0,0.018426231,0,0.013,0.00459,0,0.024678951,0.035733968,0.022,0.016996601,0.005263606,0,0.115129746,0,0.0002166,0,0.00479952,0,0,0,0,0.01759824,0,0,0,0.082553462,0.093912695,0,0,0,0,0,0,0,0.0107,0,0,0,0.012239902,0,0,0,0.027498716,0.02457301,0,0.017341162,0.018437637,0.020571875,0,0,0,0,0,0,0.021904381,0,0.078168733,0.0085,0,0,0,0,0,0.02550255,0,0.04250425
Germany,0,0,0,0.086834734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005045918,0.002316508,0,0,0,0,0.108677686,0,0,0,0,0.021337873,0.019199683,0.012532287,0.013588768,0.015645188,0,0.071928458,0,0.005347573,0,0.057579946,0,0,0,0,0,0,0,0.070707071,0,0.127438231,0,0,0,0.050325163,0.007081437,0.0121,0.021565978,0.024398024,0.014275986,0.004263094,0.089940989,0.004033032,0,0.041768322,0,0.00230023,0.001912229,0.079923977,0.02228946,0,0.03520352,0.03320332,0,0,0,0.0108,0,0,0,0,0,0,0.0211039,0,0.055732344,0.107555177,0.0344,0.017396521,0,0,0.078728031,0,0.022139693,0,0.03669633,0,0,0,0,0.01649835,0.016,0,0,0.058092662,0.072587105,0,0,0,0,0,0,0,0.1349,0,0,0,0.004425195,0.004495797,0,0,0.021337873,0.019199683,0,0.012532287,0.013588768,0.015645188,0,0,0,0,0,0,0.022204441,0,0.069172331,0.002,0.0115,0,0.00349965,0,0,0.01130113,0,0
Hong Kong,0,0,0,0.017106843,0.002595328,0,0,0,0,0,0,0,0,0,0,0,0.004438286,0.013984617,0.002623877,8.07E-05,0,0,0,0,0.000515688,0,0,0,0,0.004801902,0.005678196,0.004453517,0.004667158,0.005082986,0,0.013905795,0,0.004131346,0.04062089,0.000526903,0,0,0,0,0,0,0,0.00920092,0,0,0,0,0,0.010705353,0.002326758,0,0,0,0.002657997,0.000101502,0.000207002,9.60E-05,0,0.001951791,0.00220022,0,9.56E-05,0.018305492,0.004639435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000025,0,0,0.008300474,0,0.00069986,0,0,0.018383507,1.66E-05,0,0,0,0,0,0,0,0.0019998,0,0,1,0.026372192,0.014517421,0,0,0,0,0,0,0,0.0849,0.023620464,0,0,0.000470765,0,0,0,0.004801902,0.005678196,0,0.004453517,0.004667158,0.005082986,0.028574293,0,0.009423559,0.012387507,0,0,0.00860172,0,0.00129948,0,0,0,0.00129987,0,0,0,0,0
